Rank,Symbol,Timeframe,Total Return %,Max Drawdown %,Sharpe Ratio,Sortino Ratio,Win Rate %,Profit Factor,Num Trades,Avg Win ($),Avg Loss ($),Score
1,PIPPINUSD,1h,80.91,7.95,6.177,12.501,74.19,2.687,155,11.2069,-11.9929,0.8812
2,RIVERUSD,1h,32.01,6.56,4.332,7.159,73.68,1.91,133,6.8541,-10.0457,0.6269
3,ZECUSD,1h,38.94,5.79,3.774,9.393,66.42,1.94,134,9.0303,-9.207,0.6247
4,EVAAUSD,1h,46.63,5.7,3.87,7.802,62.35,1.87,170,9.4566,-8.377,0.6239
5,XPLUSD,1h,48.32,7.41,4.112,9.033,60.89,1.806,179,9.9339,-8.5661,0.6133
6,VVVUSD,1h,48.91,14.26,3.707,9.15,60.36,1.783,169,10.9188,-9.323,0.5822
7,PAXGUSD,1h,4.72,1.87,3.202,6.06,55.36,2.117,56,2.8885,-1.6923,0.5559
8,PENGUUSD,1h,32.24,5.75,3.142,6.732,59.88,1.619,172,8.19,-7.553,0.5363
9,BEATUSD,1h,25.13,6.3,3.248,5.555,67.46,1.599,126,7.8952,-10.2385,0.5337
10,PIUSD,1h,19.96,5.57,2.868,6.028,57.82,1.692,147,5.7431,-4.654,0.5122
11,ARCUSD,1h,33.46,10.89,2.786,4.971,60.96,1.566,146,10.3965,-10.3633,0.5115
12,DOTUSD,1h,21.11,7.02,2.832,6.701,57.14,1.686,126,7.2056,-5.6972,0.5073
13,HUSD,1h,30.8,11.59,2.801,6.141,56.67,1.513,150,10.6834,-9.2316,0.4864
14,TRUMPUSD,1h,15.45,4.97,2.49,4.516,59.21,1.48,152,5.2927,-5.1918,0.4683
15,XANUSD,1h,22.85,10.84,2.151,3.871,55.74,1.355,183,8.5487,-7.9445,0.4343
16,SAHARAUSD,1h,16.82,6.15,1.944,4.452,54.92,1.342,193,6.2271,-5.6536,0.4283
17,UNIUSD,1h,13.16,5.1,1.733,3.355,56.06,1.379,132,6.4741,-5.9918,0.4283
18,HYPEUSD,1h,15.96,8.94,2.034,3.885,51.88,1.39,133,8.2367,-6.387,0.4202
19,PUMPUSD,1h,17.64,10.08,1.881,3.835,53.53,1.291,170,8.5941,-7.6666,0.4062
20,ETCUSD,1h,11.05,7.38,1.781,3.946,50.98,1.351,153,5.4547,-4.1989,0.4022
21,XRPUSD,1h,9.07,5.25,1.508,2.948,54.2,1.305,131,5.4622,-4.952,0.3998
22,GIGGLEUSD,1h,16.17,12.43,1.677,3.094,55.28,1.303,161,7.8229,-7.4235,0.398
23,DASHUSD,1h,9.25,5.44,1.636,2.889,51.82,1.299,110,7.0557,-5.8429,0.3956
24,TRXUSD,1h,3.66,4.63,1.585,2.672,56.69,1.284,157,1.8567,-1.8919,0.3931
25,BERAUSD,1h,13.67,7.11,1.651,2.542,52.43,1.241,185,7.2548,-6.4434,0.3928
26,POLUSD,1h,11.98,9.25,1.64,3.423,50.33,1.317,151,6.5436,-5.0335,0.3896
27,JTOUSD,1h,14.01,7.85,1.552,3.174,51.37,1.249,183,7.4823,-6.328,0.3886
28,SOLVUSD,1h,10.95,10.22,1.433,2.459,55.38,1.194,186,6.531,-6.7852,0.3727
29,AAVEUSD,1h,6.47,6.81,1.168,1.893,54.29,1.207,140,4.9655,-4.8858,0.3688
30,DOGEUSD,1h,8.26,9.56,1.323,3.048,51.2,1.247,125,6.5092,-5.4745,0.3663
31,BNBUSD,1h,3.1,3.66,1.064,2.026,50.81,1.218,124,2.747,-2.3284,0.3637
32,AXSUSD,1h,5.08,5.81,1.181,2.14,52.0,1.175,125,5.256,-4.8476,0.3592
33,TAOUSD,1h,8.75,8.94,1.112,2.016,52.14,1.187,140,7.6239,-7.0001,0.3587
34,MMTUSD,1h,11.03,9.92,1.306,2.794,48.22,1.207,197,6.7711,-5.2246,0.3585
35,ETHUSD,1h,4.77,5.15,0.947,1.672,50.46,1.189,109,5.4519,-4.6698,0.3556
36,ZORAUSD,1h,8.63,9.58,1.176,1.768,50.8,1.166,187,6.3736,-5.6437,0.3513
37,CROSSUSD,1h,7.84,8.76,1.135,2.054,49.04,1.184,157,6.5567,-5.3306,0.3505
38,DUSKUSD,1h,7.73,12.88,1.228,2.708,51.82,1.196,110,8.2793,-7.4459,0.3468
39,GRIFFAINUSD,1h,9.2,11.78,1.026,1.776,53.85,1.141,169,8.1975,-8.3842,0.346
40,MONUSD,1h,8.18,8.74,0.86,1.741,53.07,1.12,179,8.0339,-8.1125,0.3456
41,SUIUSD,1h,5.0,6.62,0.78,1.398,51.72,1.112,145,6.5945,-6.3514,0.3397
42,ADAUSD,1h,5.28,7.29,0.805,1.524,49.59,1.14,123,7.062,-6.097,0.3385
43,AIXBTUSD,1h,9.23,10.26,1.056,1.786,48.02,1.134,202,8.0431,-6.551,0.3378
44,1000SHIBUSD,1h,3.6,7.97,0.81,1.742,52.99,1.126,134,4.5334,-4.5377,0.3378
45,IPUSD,1h,7.94,10.18,0.89,1.649,49.71,1.133,173,7.8615,-6.8582,0.3359
46,OPUSD,1h,6.3,8.61,0.816,1.44,50.0,1.126,174,6.4868,-5.7622,0.3355
47,BLESSUSD,1h,4.47,9.42,0.578,1.262,57.14,1.086,140,7.1013,-8.7226,0.3342
48,HBARUSD,1h,4.37,8.22,0.758,1.491,50.54,1.11,184,4.7658,-4.3898,0.3302
49,ONDOUSD,1h,4.62,8.16,0.693,1.418,48.72,1.097,195,5.4944,-4.7574,0.324
50,LINKUSD,1h,3.48,9.39,0.633,1.202,50.0,1.112,134,5.1559,-4.6362,0.3218
51,ENAUSD,1h,5.57,10.24,0.683,1.317,49.42,1.093,172,7.6684,-6.8517,0.3204
52,1MBABYDOGEUSD,1h,4.45,9.41,0.686,1.304,48.88,1.092,178,6.0492,-5.2942,0.3192
53,NEARUSD,1h,5.33,12.83,0.798,1.63,47.47,1.13,158,6.183,-4.9445,0.3153
54,SLVONUSD,1h,0.75,4.68,0.334,0.526,49.09,1.054,55,5.3722,-4.9139,0.3146
55,1000SATSUSD,1h,4.18,11.82,0.512,1.025,51.85,1.084,135,7.681,-7.6285,0.3135
56,FARTCOINUSD,1h,3.66,10.44,0.488,0.985,50.75,1.066,134,8.6925,-8.4016,0.3111
57,SONICUSD,1h,4.35,9.2,0.656,1.078,44.79,1.086,192,6.3858,-4.7708,0.3095
58,ORDIUSD,1h,7.14,14.36,0.543,1.45,46.15,1.134,195,6.7009,-5.0637,0.3083
59,PENDLEUSD,1h,4.54,11.7,0.602,1.194,48.08,1.082,208,5.9765,-5.1131,0.3078
60,MUSD,1h,2.79,11.05,0.412,0.799,51.37,1.053,146,7.4373,-7.4637,0.3054
61,SEIUSD,1h,3.15,10.86,0.574,1.006,47.85,1.075,209,4.5067,-3.8458,0.3053
62,XLMUSD,1h,0.73,7.36,0.189,0.305,51.56,1.019,192,4.0148,-4.1953,0.3038
63,BTCUSD,1h,0.11,3.95,0.068,0.103,48.06,1.006,129,3.0567,-2.8127,0.3015
64,MEMEUSD,1h,0.99,8.05,0.212,0.469,50.6,1.019,168,6.2037,-6.2338,0.3005
65,1000BONKUSD,1h,2.69,12.1,0.512,1.127,49.07,1.065,161,5.586,-5.0538,0.3005
66,KAITOUSD,1h,2.67,13.91,0.418,0.779,52.0,1.06,175,5.1689,-5.2823,0.2988
67,LITUSD,1h,1.44,10.31,0.307,0.563,50.0,1.025,156,7.5834,-7.3982,0.2957
68,INITUSD,1h,2.91,14.47,0.418,0.77,51.06,1.046,188,6.8572,-6.8394,0.2934
69,NOTUSD,1h,2.94,11.95,0.419,0.801,46.11,1.053,180,7.0694,-5.7456,0.2918
70,TIAUSD,1h,0.05,6.29,0.088,0.171,46.83,1.001,205,5.5708,-4.9013,0.2911
71,AVAXUSD,1h,1.25,10.58,0.269,0.56,45.71,1.034,140,5.9783,-4.8702,0.2861
72,JUPUSD,1h,0.22,8.97,0.112,0.201,47.2,1.004,214,5.3489,-4.7616,0.2848
73,COAIUSD,1h,0.04,9.6,0.093,0.169,47.88,1.001,165,6.7789,-6.2222,0.2832
74,KITEUSD,1h,1.4,14.42,0.256,0.47,50.3,1.026,165,6.7306,-6.6425,0.2829
75,WLDUSD,1h,0.83,9.7,0.191,0.383,45.03,1.017,171,6.3684,-5.1288,0.2826
76,SOLUSD,1h,-1.08,7.27,-0.183,-0.296,48.76,0.96,121,4.3776,-4.3406,0.279
77,AIOUSD,1h,-0.5,12.59,0.052,0.096,50.96,0.991,157,6.9475,-7.2829,0.2771
78,FRAXUSD,1h,0.09,11.33,0.098,0.181,46.81,1.002,141,5.7795,-5.0737,0.2759
79,AINUSD,1h,2.8,15.59,0.391,0.655,43.71,1.047,151,9.4988,-7.0457,0.2738
80,BCHUSD,1h,-1.35,5.34,-0.205,-0.363,44.35,0.951,124,4.7925,-4.0154,0.2732
81,SPXUSD,1h,-1.32,13.28,-0.005,-0.008,50.8,0.979,187,6.5173,-6.8736,0.2701
82,MOVEUSD,1h,-0.94,11.64,-0.048,-0.099,45.1,0.982,204,5.7355,-4.7954,0.2636
83,CAKEUSD,1h,-2.12,7.54,-0.38,-0.721,45.19,0.945,208,3.8708,-3.3777,0.2627
84,INJUSD,1h,-2.4,10.03,-0.283,-0.492,47.39,0.951,211,4.6663,-4.4205,0.2616
85,1000PEPEUSD,1h,-0.89,13.96,-0.044,-0.089,47.15,0.979,123,6.9945,-6.3779,0.2605
86,SUNUSD,1h,-0.52,13.44,-0.073,-0.133,45.92,0.982,196,3.1456,-2.7199,0.2603
87,ETHFIUSD,1h,-0.77,12.29,-0.022,-0.044,42.78,0.984,194,5.6086,-4.2629,0.2577
88,JASMYUSD,1h,-1.27,12.48,-0.075,-0.147,43.56,0.975,202,5.6897,-4.503,0.2555
89,MUBARAKUSD,1h,-2.57,11.8,-0.19,-0.382,45.66,0.957,173,7.2834,-6.395,0.2545
90,SWARMSUSD,1h,-3.28,17.26,-0.248,-0.447,53.66,0.948,164,6.8168,-8.3247,0.2508
91,STXUSD,1h,-2.63,12.3,-0.304,-0.554,45.73,0.945,199,4.9613,-4.4235,0.2493
92,REDUSD,1h,-4.98,10.47,-0.551,-1.017,47.44,0.913,215,5.1169,-5.06,0.2445
93,PEOPLEUSD,1h,-5.5,10.2,-0.613,-1.037,47.69,0.906,216,5.1298,-5.1626,0.2426
94,BIOUSD,1h,-5.08,11.53,-0.431,-0.874,46.77,0.919,186,6.661,-6.3666,0.2424
95,STBLUSD,1h,-3.83,18.18,-0.278,-0.542,51.34,0.947,187,7.1502,-7.9636,0.2412
96,SIGNUSD,1h,-2.2,14.25,-0.221,-0.339,42.77,0.953,173,6.01,-4.7143,0.2405
97,NEIROUSD,1h,-5.54,12.81,-0.403,-0.785,47.37,0.914,171,7.2336,-7.1258,0.2384
98,LTCUSD,1h,-4.43,9.86,-0.875,-1.57,48.8,0.842,125,3.8707,-4.3816,0.2343
99,WIFUSD,1h,-4.11,15.3,-0.388,-0.87,46.15,0.925,169,6.5265,-6.0454,0.2332
100,EIGENUSD,1h,-6.21,10.62,-0.744,-1.391,43.69,0.898,222,5.6162,-4.8553,0.2279
101,RSRUSD,1h,-4.23,15.74,-0.446,-0.852,44.39,0.927,187,6.4364,-5.5436,0.2272
102,WLFIUSD,1h,-4.66,13.25,-0.541,-1.072,42.55,0.904,188,5.467,-4.4809,0.225
103,MOODENGUSD,1h,-7.08,13.43,-0.689,-1.152,46.31,0.891,203,6.1473,-5.9505,0.2227
104,ZENUSD,1h,-5.06,16.41,-0.499,-1.058,42.42,0.917,198,6.6298,-5.3293,0.2168
105,PNUTUSD,1h,-8.56,11.27,-0.828,-1.905,42.71,0.862,199,6.2831,-5.4357,0.2117
106,SUSHIUSD,1h,-7.42,11.49,-1.013,-1.903,43.84,0.85,203,4.733,-4.3456,0.2111
107,POPCATUSD,1h,-9.31,14.32,-0.868,-1.638,47.25,0.861,182,6.6946,-6.9666,0.2095
108,MANAUSD,1h,-7.6,11.89,-1.051,-1.918,44.06,0.849,202,4.8196,-4.4687,0.2092
109,BLURUSD,1h,-8.58,10.67,-1.154,-2.025,43.6,0.848,211,5.2007,-4.7415,0.208
110,ARUSD,1h,-8.87,12.98,-1.204,-2.076,46.15,0.84,221,4.5792,-4.6703,0.2036
111,LISTAUSD,1h,-8.35,17.09,-1.102,-2.19,45.91,0.867,220,5.4011,-5.286,0.1974
112,ACTUSD,1h,-7.85,20.67,-0.818,-1.606,43.65,0.868,181,6.541,-5.8358,0.1874
113,IOUSD,1h,-12.04,13.39,-1.468,-2.339,46.6,0.808,206,5.288,-5.7095,0.1871
114,MASKUSD,1h,-8.77,13.52,-1.382,-2.549,41.07,0.816,224,4.2144,-3.6017,0.1848
115,ZROUSD,1h,-11.19,15.36,-1.297,-2.381,45.18,0.822,197,5.8103,-5.8241,0.1848
116,SAGAUSD,1h,-10.74,14.63,-1.426,-2.843,44.16,0.823,197,5.735,-5.5126,0.184
117,ARBUSD,1h,-11.64,14.06,-1.47,-2.591,42.55,0.796,188,5.6881,-5.2915,0.1754
118,DOGSUSD,1h,-11.91,18.62,-1.332,-2.277,48.53,0.775,136,6.2226,-7.5679,0.1725
119,DEEPUSD,1h,-10.68,18.21,-1.202,-2.167,41.55,0.828,207,5.9941,-5.1426,0.1719
120,XAIUSD,1h,-10.81,14.42,-1.685,-2.851,44.67,0.76,150,5.1132,-5.4303,0.1716
121,VIRTUALUSD,1h,-11.45,17.47,-1.344,-2.291,42.11,0.803,171,6.4937,-5.8788,0.1675
122,GOATUSD,1h,-13.37,14.54,-1.751,-2.952,44.29,0.784,210,5.2187,-5.2909,0.1674
123,ASTERUSD,1h,-9.21,15.67,-1.59,-3.144,38.17,0.8,186,5.1985,-4.0104,0.1651
124,GLMUSD,1h,-10.41,18.5,-1.613,-3.366,40.95,0.804,232,4.492,-3.8747,0.1599
125,IOTAUSD,1h,-13.91,13.91,-2.169,-3.376,44.59,0.738,222,3.9527,-4.3123,0.155
126,PROVEUSD,1h,-11.59,17.54,-1.936,-3.099,42.49,0.763,233,3.7731,-3.6522,0.152
127,BBUSD,1h,-13.4,24.19,-1.573,-2.522,44.39,0.819,214,6.3834,-6.2223,0.1461
128,XMRUSD,1h,-10.39,18.84,-2.044,-4.001,41.23,0.732,114,6.0471,-5.792,0.1415
129,SUSD,1h,-15.01,15.34,-2.135,-3.601,40.55,0.738,217,4.7962,-4.4354,0.1401
130,MANTAUSD,1h,-15.19,17.99,-2.259,-3.874,44.16,0.739,197,4.9533,-5.2986,0.1374
131,TNSRUSD,1h,-13.95,18.56,-2.172,-4.025,41.83,0.725,208,4.2219,-4.1886,0.1326
132,ZKUSD,1h,-14.97,21.43,-2.077,-3.807,45.86,0.723,181,4.7058,-5.513,0.1313
133,AVAAIUSD,1h,-16.06,21.39,-1.97,-3.126,44.97,0.731,169,5.7457,-6.4219,0.1301
134,WCTUSD,1h,-15.34,21.2,-1.973,-3.677,43.65,0.73,197,4.8328,-5.1267,0.1293
135,TOWNSUSD,1h,-16.97,19.87,-2.07,-3.567,44.5,0.724,191,5.2315,-5.7957,0.1291
136,STRKUSD,1h,-14.47,23.23,-1.969,-3.653,40.89,0.747,225,4.6308,-4.2909,0.1217
137,PARTIUSD,1h,-16.78,17.53,-2.328,-4.131,40.74,0.705,189,5.201,-5.0734,0.1216
138,HANAUSD,1h,-18.26,19.21,-2.184,-3.863,43.67,0.697,158,6.0803,-6.766,0.1205
139,EDENUSD,1h,-17.85,20.88,-2.274,-4.099,42.99,0.741,221,5.3611,-5.4585,0.1202
140,APTUSD,1h,-16.68,19.58,-2.319,-4.134,41.36,0.711,191,5.1876,-5.1488,0.1179
141,USUALUSD,1h,-17.48,20.82,-2.358,-3.732,39.15,0.708,212,5.1053,-4.6395,0.1065
142,MEUSD,1h,-16.29,22.36,-2.428,-4.291,35.71,0.708,224,4.9304,-3.8704,0.0959
143,COOKIEUSD,1h,-20.29,20.39,-2.82,-5.431,39.81,0.677,216,4.9515,-4.8366,0.0908
144,SKLUSD,1h,-18.99,19.19,-2.933,-5.978,37.95,0.661,195,4.9932,-4.623,0.0891
145,LAYERUSD,1h,-19.83,22.85,-2.798,-4.866,39.91,0.655,213,4.4233,-4.4863,0.0814
146,1000FLOKIUSD,1h,-16.73,22.25,-3.049,-4.66,40.12,0.613,167,3.9516,-4.3205,0.08
147,MELANIAUSD,1h,-18.91,21.03,-3.012,-4.941,38.02,0.642,192,4.6505,-4.4423,0.0796
148,FILUSD,1h,-19.35,21.9,-2.962,-5.21,36.78,0.628,174,5.1009,-4.7272,0.0719
149,TSTUSD,1h,-21.37,26.2,-2.951,-5.071,43.06,0.647,216,4.2061,-4.9174,0.0707
150,BMTUSD,1h,-19.76,22.53,-3.369,-5.615,38.84,0.644,224,4.1145,-4.0551,0.0694
151,LDOUSD,1h,-20.63,26.76,-2.993,-4.394,42.48,0.641,226,3.8411,-4.4235,0.0678
152,RUNEUSD,1h,-18.27,19.71,-3.614,-5.773,36.87,0.609,217,3.5509,-3.4072,0.0678
153,LIGHTUSD,1h,-21.67,22.99,-3.225,-5.136,42.38,0.606,151,5.2055,-6.3205,0.0677
154,SOPHUSD,1h,-20.12,22.28,-3.581,-5.761,36.57,0.631,216,4.3597,-3.9825,0.0591
155,DYDXUSD,1h,-26.21,27.38,-2.931,-4.941,37.93,0.654,174,7.5126,-7.0177,0.0469
156,KSMUSD,1h,-24.12,24.71,-4.241,-6.873,36.8,0.582,231,3.9529,-3.9537,0.025
157,AUCTIONUSD,1h,-21.3,21.97,-4.409,-7.707,33.04,0.555,230,3.501,-3.111,0.0248
158,API3USD,1h,-22.75,24.07,-4.636,-7.201,38.5,0.553,213,3.4317,-3.885,0.0228
159,ALTUSD,1h,-26.22,27.28,-4.005,-7.038,38.12,0.568,202,4.4693,-4.8509,0.0169
160,TRBUSD,1h,-24.18,28.23,-4.402,-6.946,38.01,0.529,221,3.2262,-3.7428,0.0058
161,VANAUSD,1h,-25.58,27.46,-4.778,-7.933,34.31,0.515,239,3.3126,-3.3593,-0.011
162,GALAUSD,1h,-29.99,33.18,-3.997,-7.012,37.44,0.559,195,5.1976,-5.5679,-0.0123
163,ORDERUSD,1h,-28.51,28.95,-4.945,-8.066,39.41,0.497,203,3.5225,-4.609,-0.0166
164,RAREUSD,1h,-27.71,28.54,-5.097,-8.261,37.02,0.506,235,3.2647,-3.7916,-0.0198
165,HIVEUSD,1h,-25.85,26.7,-5.982,-10.905,30.42,0.475,240,3.2047,-2.9489,-0.0431
166,FFUSD,1h,-32.59,34.29,-6.221,-8.928,27.27,0.423,231,3.7862,-3.36,-0.1
